ISim log file
Running: C:\Users\CS152B\Desktop\Group3\Lab0\first_counter_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/CS152B/Desktop/Group3/Lab0/first_counter_tb_isim_beh.wdb 
ISim P.68d (signature 0x7708f090)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1 0 0 xxxx
1	 0 0 0 xxxx
2	 1 0 0 xxxx
3	 0 0 0 xxxx
4	 1 0 0 xxxx
5	 0 1 0 xxxx
6	 1 1 0 xxxx
498	 1 0 1 0000
499	 0 0 1 0000
500	 1 0 1 0000
501	 0 0 1 0000
502	 1 0 1 0000
503	 0 0 1 0000
504	 1 0 1 0000
505	 0 0 1 0000
506	 1 0 1 0000
507	 0 0 1 0000
508	 1 0 1 0000
509	 0 0 1 0000
510	 1 0 1 0000
511	 0 0 1 0000
512	 1 0 1 0000
513	 0 0 1 0000
514	 1 0 1 0000
515	 0 0 1 0000
516	 1 0 1 0000
517	 0 0 1 0000
518	 1 0 1 0000
519	 0 0 1 0000
520	 1 0 1 0000
521	 0 0 1 0000
522	 1 0 1 0000
523	 0 0 1 0000
524	 1 0 1 0000
525	 0 0 1 0000
526	 1 0 1 0000
527	 0 0 1 0000
528	 1 0 1 0000
529	 0 0 1 0001
530	 1 0 1 0001
531	 0 0 1 0001
532	 1 0 1 0001
533	 0 0 1 0001
534	 1 0 1 0001
535	 0 0 1 0001
536	 1 0 1 0001
537	 0 0 1 0001
538	 1 0 1 0001
539	 0 0 1 0001
540	 1 0 1 0001
541	 0 0 1 0001
542	 1 0 1 0001
543	 0 0 1 0001
544	 1 0 1 0001
545	 0 0 1 0001
546	 1 0 1 0001
547	 0 0 1 0001
548	 1 0 1 0001
549	 0 0 1 0001
550	 1 0 1 0001
551	 0 0 1 0001
552	 1 0 1 0001
553	 0 0 1 0001
554	 1 0 1 0001
555	 0 0 1 0001
556	 1 0 1 0001
557	 0 0 1 0001
558	 1 0 1 0001
559	 0 0 1 0001
560	 1 0 1 0001
561	 0 0 1 0010
562	 1 0 1 0010
563	 0 0 1 0010
564	 1 0 1 0010
565	 0 0 1 0010
566	 1 0 1 0010
567	 0 0 1 0010
568	 1 0 1 0010
569	 0 0 1 0010
